season,season_type,player_id,player_name,player_display_name,games,position,position_group,headshot_url,team,def_tackles,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_fumble_recovery_own,def_fumble_recovery_yards_own,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_safety,def_penalty,def_penalty_yards
2020,REG,00-0028129,J.Kelce,Jason Kelce,1,C,OL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jkleqefsugfjxde0hzci",GB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0028142,V.Green,Virgil Green,1,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcdedz1qf7ybkujat6bu",TB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0028171,L.Guy,Lawrence Guy,13,DT,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jyc3hf6lyt5js3b7oon8",NE,37,27,10,20,4,3,0,2,16,7,0,0,0,0,0,0,0,1,0,0,0,0
2020,REG,00-0028180,M.Smith,Malcolm Smith,15,MLB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uelur2x665hhkdopr9qb",CLE,49,44,5,23,3,1,1,1,4,1,1,2,2,0,0,0,0,0,0,0,0,0
2020,REG,00-0028224,C.Harris,Chris Harris,9,CB,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jil3vlqjybwg2tawnume",LAC,25,25,0,12,1,1,0,0.5,0.5,1,1,51,2,0,0,0,0,0,0,0,1,10
2020,REG,00-0028278,J.Bynes,Josh Bynes,16,ILB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yki1iqv1tu8hvta68ypu",CIN,53,48,5,46,5,8,0,1,0,2,0,0,2,0,0,0,0,1,0,0,2,30
2020,REG,00-0028292,N.Bellore,Nick Bellore,1,ILB,LB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wlj7zdf6h9p9dnhdtmih",SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
2020,REG,00-0028339,M.Addison,Mario Addison,14,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bapzewurohnyaqq1p3ud",BUF,21,18,3,9,7,4,0,5,24,8,0,0,4,0,0,0,0,0,0,0,3,25
2020,REG,00-0028411,D.Inman,Dontrelle Inman,1,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/josp2o2ri6tknqzt87qc",CLE,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0028834,C.Robertson,Craig Robertson,1,ILB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ywehmogx68cifpxizv9a",NO,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0028899,R.McLeod,Rodney McLeod,13,FS,DB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ettne7rdpnkozuyhx8be",PHI,43,41,2,22,3,3,0,0,0,0,1,21,7,1,0,0,0,2,50,0,1,4
2020,REG,00-0028908,M.Thomas,Michael Thomas,5,SS,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wkugml4qpzkcj1tcyezx",HOU,6,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
2020,REG,00-0028924,T.Gipson,Tashaun Gipson,15,FS,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mbniabicepxxcetygjhk",CHI,48,47,1,18,0,0,0,0,0,0,2,10,7,0,0,0,0,1,0,0,1,5
2020,REG,00-0028932,L.Fort,L.J. Fort,14,OLB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z3x0kdm8pc6wo4luvel1",BAL,28,26,2,18,2,1,1,0,0,1,0,0,2,1,0,0,0,2,24,0,0,0
2020,REG,00-0029000,C.Beasley,Cole Beasley,1,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y5r0fhwctl6ljwvmktvu",ARI,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0029040,D.Harrison,Damon Harrison,4,DT,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cv4p5wwu6wmg04rubeaq",SEA,3,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
