captured_at,state,event_id,event_name,kickoff,away,home,away_spread,away_spread_odds,home_spread,home_spread_odds,total,over_odds,under_odds,away_ml,home_ml
2026-09-26T18:15:26Z,IL,36094866,Alabama A&M @ Florida A&M,2026-09-26T23:01:00.000Z,Alabama A&M,Florida A&M,-3.5,-104,3.5,-118,49.5,-115,-105,-160,130
2026-09-26T18:15:26Z,IL,36094867,Southern @ Jackson State,2026-09-26T23:01:00.000Z,Southern,Jackson State,20.5,-112,-20.5,-108,57.5,-110,-110,820,-1600
2026-09-26T18:15:26Z,IL,36094898,East Texas A&M @ McNeese,2026-09-26T23:01:00.000Z,East Texas A&M,McNeese,4.5,-112,-4.5,-108,51.5,-110,-110,168,-210
2026-09-26T18:15:26Z,IL,36094889,South Carolina State @ Bethune Cookman,2026-09-26T23:01:00.000Z,South Carolina State,Bethune Cookman,-17.5,-104,17.5,-118,57.5,-110,-110,-950,590
2026-09-26T18:15:26Z,IL,36073969,Arizona @ Washington State,2026-09-26T23:30:00.000Z,Arizona,Washington State,-10.5,-110,10.5,-110,48.5,-106,-114,-430,330
2026-09-26T18:15:26Z,IL,36073971,Troy @ Utah State,2026-09-26T23:30:00.000Z,Troy,Utah State,2.5,100,-2.5,-122,47.5,-105,-115,120,-144
2026-09-26T18:15:26Z,IL,36073968,Texas A&M @ LSU,2026-09-26T23:30:00.000Z,Texas A&M,LSU,8.5,-115,-8.5,-105,52.5,-108,-112,255,-320
2026-09-26T18:15:26Z,IL,36073976,Houston Christian @ North Texas,2026-09-26T23:30:00.000Z,Houston Christian,North Texas,38.5,-110,-38.5,-110,60.5,-112,-108,,
2026-09-26T18:15:26Z,IL,36073794,Oregon @ USC,2026-09-26T23:30:00.000Z,Oregon,USC,-3.5,-106,3.5,-114,61.5,-110,-110,-170,140
2026-09-26T18:15:26Z,IL,36073979,Appalachian State @ NC State,2026-09-26T23:30:00.000Z,Appalachian State,NC State,13.5,-112,-13.5,-108,55.5,-110,-110,400,-550
2026-09-26T18:15:26Z,IL,36073808,Missouri @ Mississippi State,2026-09-26T23:45:00.000Z,Missouri,Mississippi State,4.5,-110,-4.5,-110,58.5,-106,-114,164,-200
2026-09-26T18:15:26Z,IL,36073891,Florida Atlantic @ UL Monroe,2026-09-27T00:00:00.000Z,Florida Atlantic,UL Monroe,-11.5,-114,11.5,-106,58.5,-108,-112,-500,375
2026-09-26T18:15:26Z,IL,36073981,Tulsa @ Arkansas,2026-09-27T00:00:00.000Z,Tulsa,Arkansas,7.5,-122,-7.5,100,50.5,-110,-110,235,-295
2026-09-26T18:15:26Z,IL,36094880,Utah Tech @ Northern Colorado,2026-09-27T00:01:00.000Z,Utah Tech,Northern Colorado,8.5,-112,-8.5,-108,49.5,-105,-115,250,-325
2026-09-26T18:15:26Z,IL,36094859,Portland State @ Weber State,2026-09-27T00:01:00.000Z,Portland State,Weber State,6.5,-102,-6.5,-120,65.5,-112,-108,220,-280
2026-09-26T18:15:26Z,IL,36094896,Mercer @ Abilene Christian,2026-09-27T00:01:00.000Z,Mercer,Abilene Christian,4.5,-110,-4.5,-110,49.5,-114,-106,152,-188
