player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Elijah Cooks,61501,WR,JAX,9,75.0,2,15,0,23,3,4,0,38,12.7
Trishton Jackson,41247,WR,MIN,4,50.0,0,18,0,7,2,4,0,9,4.5
Kenny Yeboah,42196,TE,NYJ,5,50.0,1,22,0,20,2,4,0,28,14.0
Greg Dulcich,84068,TE,DEN,2,75.0,2,10,0,13,3,4,0,25,8.3
Keaontay Ingram,77761,HB,KC,7,100.0,1,16,0,9,4,4,0,26,6.5
Malik Taylor,94375,WR,NYJ,3,50.0,0,22,0,7,2,4,0,13,6.5
Ke'Shawn Vaughn,45866,HB,TB,5,50.0,0,30,0,3,2,4,0,2,1.0
Teagan Quitoriano,84036,TE,HST,7,66.7,2,13,0,22,2,3,0,33,16.5
Steven Sims,48341,WR,HST,2,100.0,1,13,0,23,3,3,0,25,8.3
Adam Prentice,35639,FB,NO,12,66.7,0,20,0,7,2,3,0,12,6.0
Charlie Woerner,42257,TE,SF,16,100.0,1,28,0,20,3,3,0,32,10.7
Kevin Rader,30887,TE,TEN,14,33.3,0,31,0,6,1,3,0,6,6.0
Jashaun Corbin,83773,HB,NYG,1,100.0,1,21,0,7,3,3,0,12,4.0
Quintin Morris,61182,TE,BUF,13,66.7,1,4,0,15,2,3,1,26,13.0
Nick Bawden,27413,FB,NYJ,16,100.0,1,22,0,8,3,3,0,21,7.0
Hunter Luepke,91319,FB,DAL,16,100.0,1,9,0,12,3,3,0,18,6.0
Mike Strachan,143358,WR,CAR,4,33.3,1,5,0,45,1,3,0,45,45.0
Alex Armah,11948,FB,WAS,7,100.0,1,32,0,10,3,3,0,13,4.3
Eric Saubert,11929,TE,HST,8,100.0,1,13,0,5,3,3,0,12,4.0
Kevin Harris,99141,HB,NE,4,100.0,2,19,0,48,3,3,0,58,19.3
Kenyan Drake,10707,HB,GB,3,66.7,0,12,1,24,2,3,0,31,15.5
Laquon Treadwell,10657,WR,BLT,3,33.3,1,3,0,16,1,3,0,16,16.0
Chris Manhertz,10211,TE,DEN,16,66.7,1,10,0,10,2,3,0,16,8.0
Michael Burton,9601,FB,DEN,17,100.0,2,10,0,4,3,3,0,8,2.7
Phillip Dorsett,9462,WR,DEN,2,0.0,0,10,0,0,0,3,0,0,
Melvin Gordon III,9448,HB,BLT,4,100.0,3,3,0,23,3,3,0,46,15.3
Keith Smith,9302,FB,ATL,13,100.0,1,2,0,28,3,3,0,33,11.0
Willie Snead IV,8999,WR,SF,4,66.7,0,28,0,9,2,3,0,14,7.0
Tyler Johnson,48054,WR,LA,1,66.7,1,26,0,8,2,3,1,8,4.0
Sean Tucker,123056,HB,TB,3,100.0,0,30,0,6,2,2,0,9,4.5
Rodney Williams,63718,TE,PIT,6,0.0,0,25,0,0,0,2,0,0,
Sean McKeon,42266,TE,DAL,9,0.0,0,9,0,0,0,2,0,0,
Colton Dowell,63721,WR,TEN,7,50.0,0,31,0,3,1,2,0,3,3.0
Amari Rodgers,61212,WR,IND,2,0.0,0,14,0,0,0,2,0,0,
Damien Harris,35134,HB,BUF,5,100.0,0,4,0,13,2,2,0,16,8.0
Jakob Johnson,32565,FB,LV,12,50.0,0,23,0,12,1,2,0,12,12.0
Trevon Wesco,42018,TE,TEN,15,50.0,1,31,0,21,1,2,0,21,21.0
Damiere Byrd,9964,WR,ATL,1,0.0,0,2,0,0,0,2,0,0,
Antoine Green,77985,WR,DET,8,50.0,0,11,0,2,1,2,0,2,2.0
Elijah Dotson,57394,HB,LAC,2,100.0,0,27,0,7,2,2,0,13,6.5
J.K. Dobbins,57366,HB,BLT,1,100.0,0,3,0,10,2,2,0,15,7.5
Anthony McFarland Jr.,57289,HB,PIT,2,100.0,1,25,0,6,2,2,0,11,5.5
Jordan Mims,57209,HB,NO,1,0.0,0,20,0,0,0,2,0,0,
JaMycal Hasty,25582,HB,NE,2,0.0,0,19,0,0,0,2,0,0,
Damien Williams,9205,HB,ARZ,3,100.0,0,1,0,8,2,2,0,12,6.0
Tylan Wallace,61577,WR,BLT,5,50.0,1,3,0,11,1,2,0,11,11.0
Chris Rodriguez Jr.,83689,HB,WAS,6,100.0,1,32,0,7,2,2,0,12,6.0
David Wells,34985,TE,TB,5,100.0,1,30,1,1,2,2,0,-10,-5.0
