player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Ollie Gordon II,157792,HB,OKLA STATE,1,100.0,1,262,0,1,1,1,1,1,1.0
Gavin Sawchuk,158088,HB,OKLAHOMA,1,100.0,0,261,0,8,1,1,0,8,8.0
Jet Thompson,158368,WR,GA SOUTHRN,1,100.0,1,174,0,79,1,1,1,79,79.0
Nate Johnson,158489,QB,UTAH,1,100.0,1,328,0,5,1,1,0,5,5.0
Jaylen Jenkins,158512,HB,WASH STATE,1,0.0,0,341,0,0,0,1,0,0,
Richard Reese,158568,HB,BAYLOR,1,0.0,0,118,0,0,0,1,0,0,
JT Seagreaves,158708,TE,WISCONSIN,1,100.0,0,349,0,3,1,1,0,3,3.0
Ramon Brown,162786,HB,MARYLAND,1,100.0,0,215,0,1,1,1,0,1,1.0
Leon Haughton Jr.,162793,WR,MARYLAND,1,0.0,0,215,0,0,0,1,0,0,
Ty Mims,163565,WR,SO MISS,1,100.0,1,296,0,18,1,1,1,18,18.0
Kobe Prentice,163609,WR,ALABAMA,1,100.0,1,103,0,47,1,1,1,47,47.0
Savion Red,163857,WR,TEXAS,1,100.0,0,311,0,1,1,1,0,1,1.0
Omari Evans,164168,WR,PENN STATE,1,0.0,0,266,0,0,0,1,0,0,
