player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Chris Curry,83696,HB,UTAH,1,2,0,328,0,8,0,0,0,2,0,9,4.5
Harold Joiner III,83635,HB,MICH STATE,1,2,0,223,0,6,11,2,2,4,0,8,4.0
Ladd McConkey,124030,WR,GEORGIA,3,2,1,173,0,8,52,5,8,7,0,5,2.5
Braylon Braxton,144442,QB,TULSA,1,2,0,320,0,1,0,0,0,2,0,-1,-0.5
Kalil Pimpleton,61799,WR,C MICHIGAN,1,1,0,134,0,6,30,3,5,4,0,6,6.0
Savon Scarver,61783,WR,UTAH ST,2,1,0,329,0,-10,0,0,0,1,0,-10,-10.0
Nykeim Johnson,61692,WR,KENT STATE,2,1,0,201,0,7,118,8,12,9,0,7,7.0
Monaray Baldwin,144520,WR,BAYLOR,1,1,1,118,0,48,0,0,0,1,1,48,48.0
Mario Williams,144620,WR,OKLAHOMA,1,1,1,261,0,11,33,2,3,3,0,11,11.0
Barrett Banister,61465,WR,MISSOURI,1,1,0,229,0,-2,53,6,7,7,0,-2,-2.0
JP Richardson,144650,WR,OKLA STATE,2,1,0,262,0,-1,75,9,11,10,0,-1,-1.0
Malik Williams,61121,WR,APP STATE,2,1,0,108,0,5,43,3,9,3,0,5,5.0
John Samuel Shenker,60854,TE,AUBURN,1,1,0,115,0,1,54,5,5,6,0,1,1.0
Aidan O'Connell,60516,QB,PURDUE,1,1,0,273,0,6,0,0,0,0,0,6,6.0
Stone Smartt,60492,WR,DOMINION,1,1,0,263,0,2,28,4,4,5,0,2,2.0
Christian Veilleux,145086,QB,PENN STATE,1,1,1,266,0,13,0,0,0,1,0,13,13.0
Deion Burks,145107,WR,PURDUE,1,1,0,273,0,-3,26,1,1,2,0,-3,-3.0
Connor Heyward,57301,TE,MICH STATE,1,1,1,223,0,7,37,5,6,6,0,7,7.0
Maurice Burkley,57276,HB,LOUISVILLE,1,1,0,210,0,0,0,0,0,1,0,0,0.0
Ivory Kelly-Martin,57244,HB,IOWA,1,1,1,192,0,12,17,2,3,3,0,12,12.0
T.J. Wisham,57147,HB,LA LAFAYET,2,1,0,207,0,0,0,0,0,1,0,0,0.0
Audric Estime,147476,HB,NOTRE DAME,1,1,0,258,0,-1,0,0,0,1,0,-1,-1.0
Jeremiah Hall,57083,TE,OKLAHOMA,1,1,1,261,0,3,14,2,2,3,0,3,3.0
Mason King,145860,HB,N ILLINOIS,1,1,0,254,0,4,0,0,1,1,0,4,4.0
Charlie Jones,55038,WR,IOWA,2,1,0,192,0,6,41,2,3,3,0,6,6.0
Champ Flemings,52125,WR,OREGON ST,1,1,0,265,0,-2,3,1,2,2,0,-2,-2.0
Jack Dunn,47396,WR,WISCONSIN,1,1,0,349,0,2,0,0,2,1,0,2,2.0
