player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Noah McNeal-Franklin,174877,LB,S JOSE ST,1,1,0,285,0,1,0,1,1
John Norwood,174878,ED,S JOSE ST,1,0,0,285,0,0,0,0,0
Isiah Revis,174881,S,S JOSE ST,1,2,0,285,0,0,0,1,4
TJ Bush Jr.,174925,ED,LIBERTY,1,1,0,206,0,0,0,0,4
Donovan Dozier,174927,ED,LIBERTY,1,0,0,206,0,0,0,0,0
Jamal Miles,174934,CB,LIBERTY,1,0,0,206,0,0,0,0,1
Nathan Pirolli,174938,DI,LIBERTY,1,0,0,206,0,0,0,0,0
Bryan Whitehead,174941,ED,ARK STATE,1,0,0,113,0,0,0,0,1
Naseri Danielson,175014,LB,S JOSE ST,1,0,0,285,0,0,0,0,1
Siale Esera,175020,LB,BYU,1,0,0,128,0,0,0,1,1
Miles Hall,175024,LB,BYU,1,0,0,128,0,0,0,0,0
Ace Kaufusi,175031,LB,BYU,1,0,0,128,0,0,0,0,0
Herman Smith,175129,S,COLORADO,1,0,0,143,0,0,0,0,0
Julien Davis,175186,LB,E CAROLINA,1,0,0,156,0,0,0,1,0
DJ Johnson Jr.,175193,LB,E CAROLINA,1,0,0,156,0,0,0,0,0
Bryce Allen,175216,CB,NAVY,1,0,0,237,0,0,0,0,1
Irabonoise Oniha,175257,CB,NAVY,1,0,0,237,0,0,0,0,1
Giuseppe Sessi,175264,S,NAVY,1,0,0,237,0,0,0,0,2
Griffen Willis,175274,DI,NAVY,1,0,0,237,0,0,0,1,0
Daemian Wimberly,175297,ED,UTSA,1,0,0,331,0,0,0,0,1
Max Tucker,175345,CB,BOSTON COL,1,0,0,121,0,0,0,0,3
Popo Aguirre,175372,LB,MIAMI FL,1,2,0,220,0,0,0,0,2
Ty Adams,175389,CB,N CAROLINA,1,1,0,245,0,0,0,0,2
Kaleb Cost,175392,CB,N CAROLINA,1,1,0,245,0,0,0,0,6
Caleb LaVallee,175399,LB,N CAROLINA,1,3,0,245,0,0,1,0,7
Rodney Lora,175400,DI,N CAROLINA,1,0,0,245,0,0,0,0,0
Tre Miller,175403,S,N CAROLINA,1,0,0,245,0,0,0,0,0
Joel Starlings,175405,DI,N CAROLINA,1,0,0,245,0,0,0,0,0
Rasheem Biles,175408,LB,PITTSBURGH,1,1,0,268,1,0,2,0,5
Cruce Brookins,175409,S,PITTSBURGH,1,0,0,268,1,1,0,0,6
Djibril Rahman,175501,ED,RUTGERS,1,0,0,278,0,0,0,0,0
Reggie Jones Jr.,175598,DI,S JOSE ST,1,0,0,285,0,0,0,0,0
Judd Rouyea,175601,DI,LA TECH,1,0,0,208,0,0,0,0,1
Trez Moore,175648,CB,TEXAS ST,1,0,0,314,0,0,0,0,2
RJ Moss Jr.,175843,DI,S ALABAMA,1,1,0,288,0,0,0,0,1
Bray Hubbard,175863,S,ALABAMA,1,2,0,103,0,0,0,0,7
Keon Keeley,175865,ED,ALABAMA,1,0,0,103,0,0,0,0,1
Yhonzae Pierre,175869,ED,ALABAMA,1,0,0,103,0,0,0,0,1
Nick DeLoach Jr.,175900,CB,MISSOURI,1,0,0,229,0,0,0,0,2
Serigne Tounkara,175914,ED,CAL,1,0,0,130,0,0,0,0,0
Vicari Swain,175930,CB,S CAROLINA,1,1,0,289,0,0,0,0,1
Dalton Brooks,175932,S,TEXAS A&M,1,3,0,312,0,1,0,0,4
DJ Hicks,175935,DI,TEXAS A&M,1,2,0,312,0,0,0,0,1
Rylan Kennedy,175937,ED,TEXAS A&M,1,1,0,312,1,0,0,0,0
Jeremiah Warren,175960,DI,ILLINOIS,1,0,0,187,0,0,0,0,0
Mac Resetich,175962,S,ILLINOIS,1,0,0,187,0,0,0,1,1
Juice Clarke,175969,CB,ILLINOIS,1,0,0,187,0,0,0,0,2
Alex Bray,175973,DI,ILLINOIS,1,1,0,187,0,0,0,0,1
Jordan Shaw,175991,CB,WASHINGTON,1,2,0,340,0,0,0,0,1
Kelvon McBride,176007,LB,NC STATE,1,0,0,248,0,0,0,0,1
Bishop Fitzgerald,176010,S,NC STATE,1,1,0,248,0,0,1,0,5
Zyian Moultrie-Goddard,176040,LB,SYRACUSE,1,1,0,304,1,0,0,0,1
Creed Hill,176109,CB,OHIO,1,0,0,259,0,0,0,0,0
Joey Pope,176126,S,W MICHIGAN,1,1,0,347,0,0,0,0,2
Jelani McDonald,176180,S,TEXAS,3,1,0,311,0,0,0,0,6
Ryan Niblett,176181,HB,TEXAS,2,0,0,311,0,0,0,0,1
Warren Roberson,176184,CB,TEXAS,2,0,0,311,0,0,0,0,0
Ty Benefield,176221,S,BOISE ST,2,2,0,120,0,0,0,0,12
Brandyn Hillman,176277,S,MICHIGAN,1,1,0,222,0,0,1,1,2
Chase Martin,176285,LB,BOISE ST,2,0,0,120,0,0,0,0,0
Cam Brandt,176306,ED,MICHIGAN,1,1,0,222,0,0,0,1,1
Trey Pierce,176315,DI,MICHIGAN,1,0,0,222,0,0,0,0,0
Enow Etta,176318,DI,MICHIGAN,1,1,0,222,0,0,0,0,1
Chase Edwards,176346,DI,LA LAFAYET,2,0,0,207,0,0,0,0,1
Kody Jackson,176350,S,LA LAFAYET,2,0,0,207,0,0,2,0,3
Lance Williams,176366,ED,LA LAFAYET,2,0,0,207,0,0,0,0,0
Ahmere Foster,176372,S,MARSHALL,1,0,0,214,0,0,0,0,0
Ian Foster,176373,CB,MARSHALL,1,0,0,214,0,0,0,0,1
TaShawn Jeter,176377,CB,MARSHALL,1,0,0,214,0,0,0,0,0
Braydin Ward,176388,ED,MARSHALL,1,0,0,214,0,0,0,0,0
Sam Samé,176466,ED,IOWA STATE,1,0,0,193,0,0,0,0,0
T.J. Capers,176469,S,LOUISVILLE,1,0,0,210,0,0,0,0,2
Chris Bryson II,176487,S,UTSA,1,0,0,331,0,0,0,0,0
Jameian Buxton,176488,DI,UTSA,1,0,0,331,0,0,0,0,2
Davin Martin,176493,CB,UTSA,1,0,0,331,0,0,0,0,0
Donald Quaite Jr.,176498,ED,UTSA,1,1,0,331,0,0,0,0,0
Vic Shaw,176502,ED,UTSA,1,0,0,331,0,0,0,1,4
Marcellus Wilkerson,176504,CB,UTSA,1,0,0,331,0,0,0,0,0
Ryan McCulloch,176559,ED,CAL,1,0,0,130,0,0,0,1,1
Cade Uluave,176566,LB,CAL,1,1,0,130,0,0,0,0,3
Blake Purchase,176598,ED,OREGON,2,0,0,264,0,0,0,0,0
A'Mauri Washington,176603,DI,OREGON,2,0,0,264,0,0,0,0,1
Braylan Shelby,176644,ED,USC,1,0,0,326,0,0,0,1,2
Jack Janikowski,176679,ED,WASH STATE,1,0,0,341,0,0,0,0,0
Isaac Terrell,176693,ED,WASH STATE,1,0,0,341,0,0,0,0,0
Christian Davis,178014,DI,LA TECH,1,4,0,208,0,0,0,0,0
Zach Kelly,178094,CB,BOSTON COL,1,0,0,121,0,0,0,0,0
Jordan Taylor,180977,CB,JAMES MAD,1,1,0,197,0,0,0,0,2
Daniel Harris,182310,CB,GEORGIA,2,1,0,173,0,0,1,0,5
Sammy Brown,183192,LB,CLEMSON,1,4,0,140,0,0,0,0,11
Jordan Boyd,183211,ED,GA TECH,1,0,0,176,0,0,0,0,0
Tah'j Butler,183212,LB,GA TECH,1,1,0,176,0,0,0,0,4
Dylan Day,183229,S,MIAMI FL,1,0,0,220,0,0,0,0,0
Zaquan Patterson,183237,S,MIAMI FL,1,1,0,220,0,0,0,0,4
Cam Pruitt,183239,LB,MIAMI FL,1,0,0,220,0,0,0,0,1
Isaiah Crosby,183258,S,CAL,1,1,0,130,0,0,0,0,1
Ja'ir Smith,183264,CB,CAL,1,0,0,130,0,0,0,0,2
Isaac Torres,183265,WR,CAL,1,0,0,130,0,0,0,0,0
Francis Brewu,183267,DI,PITTSBURGH,1,0,0,268,3,0,0,1,1
Sincere Edwards,183270,ED,PITTSBURGH,1,0,0,268,1,0,0,0,0
Daniel Anderson,183323,ED,N CAROLINA,1,0,0,245,0,0,0,0,0
Tyrane Stewart,183340,CB,N CAROLINA,1,0,0,245,0,0,0,0,3
Malcolm Ziglar,183346,S,N CAROLINA,1,0,0,245,0,0,0,0,1
Zane Williams,183368,LB,NC STATE,1,1,0,248,0,0,0,0,1
Caden Brown,183371,ED,SYRACUSE,1,0,0,304,0,0,0,0,0
KingJoseph Edwards,183372,ED,SYRACUSE,1,0,0,304,0,0,0,0,2
Jahide Lesaine Jr.,183375,ED,SYRACUSE,1,0,0,304,0,0,0,0,1
Braheem Long Jr.,183376,S,SYRACUSE,1,0,0,304,0,0,0,0,3
Stan Modo,183377,ED,SYRACUSE,1,0,0,304,1,0,0,0,0
Maraad Watson,183380,DI,SYRACUSE,1,0,0,304,0,0,0,0,2
Jayden Lewis,183429,CB,TULANE,1,0,0,319,0,0,0,0,0
Dinellson Exume,183436,DI,USF,1,0,0,327,0,0,0,0,0
