player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Nathan Peterman,11926,QB,CHI,2,4,2,6,0,13,0,0,0,1,0,22,5.5
Stevie Scott III,83680,HB,ARZ,1,4,0,1,0,7,0,0,0,4,0,5,1.3
Bijan Robinson,123126,HB,ATL,1,4,1,2,0,12,6,1,1,5,0,20,5.0
Brandon Allen,10835,QB,SF,2,3,0,28,0,-1,0,0,0,3,0,-3,-1.0
Nsimba Webster,48107,WR,CHI,3,3,2,6,0,17,70,7,12,10,0,33,11.0
Logan Woodside,46517,QB,ATL,3,3,0,2,1,6,0,0,0,0,0,14,4.7
David Blough,46508,QB,ARZ,3,3,1,1,0,5,0,0,0,3,1,3,1.0
Stetson Bennett,60387,QB,LA,3,3,1,26,0,4,0,0,0,2,1,6,2.0
Bailey Zappe,60396,QB,NE,3,3,1,19,3,6,0,0,0,1,1,11,3.7
Calvin Austin III,61418,WR,PIT,3,3,1,25,0,17,93,4,8,7,0,26,8.7
Kalil Pimpleton,61799,WR,NYG,3,3,2,21,0,10,33,4,5,7,0,21,7.0
Javonte Williams,77803,HB,DEN,1,3,0,10,0,8,18,4,5,7,0,12,4.0
Sam Darnold,29048,QB,SF,3,3,0,28,0,10,0,0,0,1,0,18,6.0
Justin Fields,82118,QB,CHI,2,3,1,6,0,13,0,0,0,1,0,16,5.3
Kyle Allen,26152,QB,BUF,3,3,2,4,1,10,0,0,0,1,0,14,4.7
Tim Boyle,21956,QB,NYJ,4,3,2,22,0,2,0,0,0,3,0,4,1.3
Nick Mullens,12282,QB,MIN,2,3,0,18,0,9,0,0,0,0,0,18,6.0
Joshua Dobbs,11890,QB,ARZ,1,3,0,1,0,8,0,0,0,1,0,11,3.7
C.J. Beathard,11859,QB,JAX,3,3,2,15,0,2,4,1,1,4,1,3,1.0
Alvin Kamara,11822,HB,NO,1,3,1,20,0,12,21,2,2,5,0,14,4.7
