player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
J.J. McCarthy,144918,QB,MICHIGAN,12,271,64.9,176,104,222,2,106.9,8,16,2220,8.2
Garrett Shrader,98212,QB,SYRACUSE,11,271,64.2,174,127,304,7,101.4,26,17,2320,8.6
Dequan Finn,97804,QB,TOLEDO,10,270,58.9,159,110,316,12,89.1,16,21,1976,7.3
Collin Schlee,98025,QB,KENT STATE,11,268,59.3,159,116,201,5,92.8,18,13,2117,7.9
TJ McMahon,83521,QB,RICE,10,268,59.3,159,100,275,14,84.8,25,18,2102,7.8
Ryan Hilinski,71295,QB,NWESTERN,8,259,55.6,144,75,256,7,71.4,4,6,1648,6.4
Nate Cox,60432,QB,NEVADA,10,256,52.7,135,73,239,5,68.7,13,5,1495,5.8
Doug Brumfield,128348,QB,UNLV,10,254,64.6,164,97,325,5,91.9,22,10,1893,7.5
Drew Pyne,122910,QB,NOTRE DAME,11,254,64.6,164,109,258,6,108.1,15,22,2021,8.0
Davis Brin,77642,QB,TULSA,9,252,58.7,148,101,320,8,95.7,30,17,2142,8.5
Robby Ashford,131702,QB,AUBURN,12,250,49.2,123,82,115,7,67.6,25,7,1613,6.5
Quinn Ewers,127253,QB,TEXAS,9,249,56.2,140,95,311,6,86.5,8,13,1805,7.2
Tyler Van Dyke,122225,QB,MIAMI FL,9,249,62.7,156,84,220,5,89.8,12,10,1823,7.3
Phil Jurkovec,83533,QB,BOSTON COL,8,249,59.0,147,76,121,8,81.3,24,11,1711,6.9
Ben Wooldridge,82115,QB,LA LAFAYET,10,246,56.1,138,73,207,5,88.7,11,15,1654,6.7
Andrew Peasley,83581,QB,WYOMING,11,245,51.4,126,72,351,8,67.2,15,9,1388,5.7
Grayson McCall,98002,QB,COAST CAR,9,244,68.9,168,110,141,1,126.0,17,21,2314,9.5
Taylor Powell,60459,QB,E MICHIGAN,8,240,65.4,157,81,160,7,95.2,20,14,1805,7.5
Clay Millen,146082,QB,COLO STATE,10,234,72.2,169,92,144,6,99.8,54,10,1909,8.2
Zion Turner,158636,QB,UCONN,12,232,60.3,140,68,146,7,75.0,19,9,1239,5.3
Donovan Smith,73929,QB,TEXAS TECH,10,222,65.8,146,80,315,8,88.2,18,12,1506,6.8
Cam Fancher,145266,QB,MARSHALL,11,219,55.7,122,73,214,5,78.2,14,8,1422,6.5
Malik Cunningham,60436,QB,LOUISVILLE,10,218,62.4,136,87,210,5,86.7,18,8,1567,7.2
Taylen Green,145996,QB,BOISE ST,9,215,63.3,136,86,120,4,99.0,5,12,1719,8.0
Parker McNeil,123714,QB,LA TECH,8,214,57.9,124,73,208,8,100.1,15,18,1914,8.9
Jack Salopek,130662,QB,W MICHIGAN,7,212,49.1,104,66,347,11,57.6,28,7,1285,6.1
Cooper Legas,101286,QB,UTAH ST,9,209,61.2,128,69,329,9,81.9,17,11,1465,7.0
J.T. Shrout,83562,QB,COLORADO,9,205,44.4,91,58,143,8,58.9,8,7,1216,5.9
Trenton Bourguet,97285,QB,ARIZONA ST,6,203,71.4,145,83,110,6,97.9,7,11,1490,7.3
AJ Swann,157186,QB,VANDERBILT,9,201,57.2,115,59,333,2,88.5,9,10,1270,6.3
Emory Jones,82111,QB,ARIZONA ST,8,200,62.5,125,76,110,4,89.4,21,7,1530,7.7
Jalen Mayden,83520,QB,S DIEGO ST,7,195,62.6,122,88,284,7,93.1,16,10,1721,8.8
Emmett Morehead,143834,QB,BOSTON COL,9,194,59.8,116,66,121,6,83.1,21,10,1253,6.5
Devin Leary,77628,QB,NC STATE,6,193,61.1,118,68,248,4,90.7,10,11,1265,6.6
Aveon Smith,130529,QB,MIAMI OH,9,191,48.7,93,61,221,5,72.2,19,9,1133,5.9
Dylan Hopkins,83571,QB,UAB,10,189,63.5,120,72,321,3,102.1,15,9,1719,9.1
Haynes King,124329,QB,TEXAS A&M,6,188,55.3,104,59,312,6,74.3,7,7,1220,6.5
Jeff Sims,122496,QB,GA TECH,7,188,58.5,110,58,176,3,77.7,18,5,1114,5.9
Adrian Martinez,83522,QB,KANSAS ST,9,186,64.5,120,62,199,1,92.5,14,6,1258,6.8
Zach Wilcke,156836,QB,SO MISS,8,177,57.1,101,55,296,9,72.6,14,9,1157,6.5
Jalon Daniels,122555,QB,KANSAS,8,176,65.3,115,80,198,2,111.2,4,13,1470,8.4
Ben Gulbranson,131734,QB,OREGON ST,9,175,62.9,110,66,265,5,88.2,10,8,1275,7.3
Behren Morton,144747,QB,TEXAS TECH,6,168,57.1,96,60,315,6,76.4,12,7,1117,6.6
Braylon Braxton,144442,QB,TULSA,9,163,56.4,92,52,320,2,93.4,12,10,1133,7.0
Gerry Bohanon,77636,QB,USF,7,162,56.8,92,53,327,6,73.9,3,6,1073,6.6
Brady Olson,147415,QB,UMASS,9,157,51.0,80,35,216,8,47.8,8,2,764,4.9
Chandler Fields,97286,QB,LA LAFAYET,7,156,56.4,88,54,207,4,85.1,11,10,949,6.1
Tanner Morgan,55239,QB,MINNESOTA,8,155,66.5,103,70,225,5,94.7,8,7,1324,8.5
Mike Wright Jr.,124366,QB,VANDERBILT,9,150,56.7,85,48,333,4,91.7,3,12,966,6.4
Shane Illingworth,71512,QB,NEVADA,6,146,58.2,85,34,239,3,68.3,21,2,760,5.2
Gavin Wimsatt,155757,QB,RUTGERS,8,145,44.1,64,35,278,7,51.6,13,5,743,5.1
Miles Kendrick,77673,QB,NEW MEXICO,8,143,58.0,83,41,241,7,62.0,26,3,856,6.0
