player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Josh McCray,144799,HB,ILLINOIS,3,100.0,0,187,0,9,4,4,0,19,4.8
Malcolm Johnson Jr.,124402,WR,AUBURN,6,50.0,2,115,0,15,2,4,0,28,14.0
Preston Daniel,123494,TE,FLORIDA ST,12,75.0,2,167,0,7,3,4,1,15,5.0
Cade Harris,157896,WR,AIR FORCE,2,50.0,1,101,0,41,2,4,1,45,22.5
Cale Cabbiness,122962,WR,OKLA STATE,2,50.0,1,262,0,25,2,4,1,37,18.5
Terry Moore,156258,HB,DUKE,4,75.0,1,154,0,15,3,4,0,18,6.0
Will Taylor,144141,WR,CLEMSON,4,75.0,2,140,0,20,3,4,1,21,7.0
Kalvin Souders,128372,WR,UNLV,5,100.0,4,325,0,18,4,4,0,57,14.3
Monte Pottebaum,81252,FB,IOWA,10,75.0,2,192,1,17,3,4,0,37,12.3
Matt Lauter,145992,TE,BOISE ST,10,100.0,2,120,0,29,4,4,0,40,10.0
Logan Kendall,82518,TE,UTAH,12,100.0,1,328,0,16,4,4,1,29,7.3
Kaydin Pope,163691,WR,MISS STATE,1,75.0,1,227,0,14,3,4,0,23,7.7
Deondre Jackson,124323,HB,OKLA STATE,6,75.0,1,262,0,10,3,4,0,20,6.7
Keyvone Lee,129790,HB,PENN STATE,5,75.0,2,266,0,10,3,4,1,23,7.7
Denzel Boston,162481,WR,WASHINGTON,2,50.0,1,340,0,10,2,4,0,15,7.5
Christian Beal-Smith,55433,HB,S CAROLINA,8,75.0,1,289,0,9,3,4,0,19,6.3
Gunnar Helm,144726,TE,TEXAS,12,100.0,2,311,0,9,4,4,0,25,6.3
Jamontez Woods,97311,HB,TROY,6,75.0,2,318,0,11,3,4,0,23,7.7
DK Billingsley,57432,HB,TROY,12,100.0,0,318,0,9,4,4,0,20,5.0
Jordan Younge-Humphrey,109316,HB,UNLV,4,100.0,1,325,0,14,4,4,0,29,7.3
Dazalin Worsham,122232,WR,AUBURN,9,25.0,0,115,0,8,1,4,0,8,8.0
Dallan Hayden,162865,HB,OHIO STATE,8,100.0,2,260,0,10,4,4,0,23,5.8
Munir McClain,100663,TE,UTAH,7,50.0,1,328,0,12,2,4,0,18,9.0
Peter Kikwata,163534,WR,DOMINION,8,25.0,1,263,0,23,1,4,0,23,23.0
Jordan Diaz,169582,WR,TEMPLE,2,0.0,0,306,0,0,0,3,0,0,
Trelon Smith,57135,HB,UTSA,7,66.7,1,331,0,16,2,3,0,26,13.0
Percy Agyei-Obese,57255,HB,JAMES MAD,9,66.7,0,197,0,8,2,3,0,11,5.5
Isaac Martin,57938,TE,LOUISVILLE,12,66.7,2,210,0,10,2,3,1,11,5.5
Steven Anderson,60542,HB,TULSA,9,100.0,2,320,0,40,3,3,0,56,18.7
Kurt Rafdal,60971,TE,BOISE ST,8,33.3,0,120,0,2,1,3,0,2,2.0
Drake De Iuliis,61067,TE,VA TECH,10,100.0,1,337,0,7,3,3,0,14,4.7
Miles Joiner,61085,TE,N ILLINOIS,2,33.3,0,254,0,11,1,3,0,11,11.0
Jaylon Jackson,61214,WR,COLORADO,2,100.0,3,143,0,28,3,3,0,46,15.3
C.J. Hayes,61447,WR,SYRACUSE,2,33.3,0,304,0,5,1,3,0,5,5.0
Jordan Pouncey,61711,WR,FLORIDA,4,66.7,1,163,0,6,2,3,0,4,2.0
Ari Broussard,75824,HB,RICE,7,100.0,1,275,0,16,3,3,0,36,12.0
Juma Otoviano,75903,HB,RICE,7,100.0,2,275,0,48,3,3,1,64,21.3
Ezechiel Tieide,76718,WR,TOLEDO,2,33.3,0,316,0,6,1,3,0,6,6.0
Kelan Walker,77749,HB,HOUSTON,10,66.7,0,182,0,-1,2,3,0,-3,-1.5
David Bailey,77792,HB,COLO STATE,3,100.0,1,144,0,8,3,3,0,-1,-0.3
Jovany Ruiz-Navarro,78055,WR,BUFFALO,2,66.7,1,126,0,8,2,3,0,13,6.5
Adam Beale,78166,WR,TOLEDO,5,66.7,1,316,0,24,2,3,0,30,15.0
Praise Okorie,78783,WR,LA TECH,9,100.0,0,208,0,6,3,3,0,9,3.0
Tyhier Tyler,82083,QB,ARMY,10,66.7,1,114,0,11,2,3,0,17,8.5
Jack Colletto,83540,FB,OREGON ST,10,100.0,2,265,0,30,3,3,0,46,15.3
Matt Bjorson,83984,TE,MIAMI OH,9,33.3,1,221,0,20,1,3,0,20,20.0
AJ Lewis,84063,TE,TROY,10,0.0,0,318,0,0,0,3,0,0,
Xavier Williams,84087,WR,UTAH ST,4,33.3,0,329,0,7,1,3,0,7,7.0
Jamal Bell,84255,WR,LA LAFAYET,5,66.7,1,207,0,30,2,3,0,39,19.5
Blue Smith,84357,WR,CINCINNATI,7,100.0,1,138,0,18,3,3,0,30,10.0
Nigel Fitzgerald,84358,WR,UCONN,3,66.7,0,146,0,7,2,3,0,12,6.0
Isaah Crocker,84369,WR,OREGON,2,0.0,0,264,0,0,0,3,0,0,
