player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Hajj-Malik Williams,102348,QB,UNLV,2,46,39.1,18,8,325,1,58.8,8,2,206,4.5
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,1,45,51.1,23,11,144,2,62.3,0,1,310,6.9
Henry Belin IV,162693,QB,DUKE,1,44,56.8,25,15,154,1,77.5,0,2,236,5.4
Zevi Eckhaus,148535,QB,WASH STATE,1,43,72.1,31,18,341,2,101.2,1,3,363,8.4
Michael Hawkins Jr.,184595,QB,OKLAHOMA,1,43,65.1,28,14,261,0,95.8,4,2,247,5.7
Marcel Reed,175940,QB,TEXAS A&M,1,42,61.9,26,15,312,2,86.6,1,3,292,7.0
Grayson James,145214,QB,BOSTON COL,1,41,63.4,26,16,121,0,85.5,3,0,301,7.3
Cade Klubnik,156253,QB,CLEMSON,1,41,58.5,24,14,140,0,109.9,3,4,261,6.4
Drew Mestemaker,190616,QB,N TEXAS,1,41,63.4,26,18,251,2,90.8,3,2,393,9.6
Jayden Maiava,158135,QB,USC,1,39,56.4,22,13,326,3,82.7,1,4,295,7.6
Garrett Greene,123420,QB,W VIRGINIA,1,39,71.8,28,17,343,1,103.0,0,2,325,8.3
Bryce Archie,156667,QB,USF,1,36,66.7,24,10,327,1,73.3,3,0,235,6.5
DJ Lagway,184426,QB,FLORIDA,1,35,62.9,22,13,163,2,76.5,1,1,305,8.7
Jaxson Dart,146409,QB,OLE MISS,1,35,77.1,27,19,226,0,152.6,3,4,404,11.5
Jordan McCloud,101058,QB,TEXAS ST,1,35,74.3,26,14,314,1,98.2,2,1,307,8.8
JC French IV,162521,QB,GA SOUTHRN,1,34,58.8,20,13,174,4,47.3,3,1,212,6.2
Garrett Nussmeier,146757,QB,LSU,1,34,70.6,24,16,211,1,115.2,0,3,303,8.9
Kyle McCord,145053,QB,SYRACUSE,1,34,70.6,24,18,304,0,152.6,3,5,453,13.3
LaNorris Sellers,174326,QB,S CAROLINA,1,34,70.6,24,13,289,0,102.5,2,1,259,7.6
Will Hammond,184898,QB,TEXAS TECH,1,34,58.8,20,14,315,2,70.7,1,1,280,8.2
Jalen Milroe,146590,QB,ALABAMA,1,33,48.5,16,7,103,1,62.9,5,1,182,5.5
Haynes King,124329,QB,GA TECH,1,33,75.8,25,13,176,1,108.6,4,3,204,6.2
Brady Cook,124199,QB,MISSOURI,1,32,56.3,18,16,229,0,107.2,3,2,287,9.0
Demond Williams Jr.,183648,QB,WASHINGTON,1,32,81.3,26,17,340,1,141.9,6,4,374,11.7
Josh Hoover,127148,QB,TCU,1,32,62.5,20,14,305,1,113.5,2,4,252,7.9
Athan Kaliakmanis,144971,QB,RUTGERS,1,32,43.8,14,14,278,1,66.8,5,1,237,7.4
Owen McCown,157688,QB,UTSA,1,31,74.2,23,12,331,1,95.4,1,1,254,8.2
Avery Johnson,173108,QB,KANSAS ST,1,30,50.0,15,11,199,1,90.3,2,3,195,6.5
Josh Holst,171312,QB,N ILLINOIS,1,30,60.0,18,11,254,1,85.7,3,2,182,6.1
Dylan Raiola,183581,QB,NEBRASKA,1,30,73.3,22,13,238,1,91.5,1,1,224,7.5
Jaylen Raynor,172203,QB,ARK STATE,1,30,60.0,18,9,113,1,91.1,4,2,221,7.4
Katin Houser,158386,QB,E CAROLINA,1,30,63.3,19,11,156,2,48.5,0,0,154,5.1
Max Brosmer,105568,QB,MINNESOTA,1,29,62.1,18,9,225,1,81.3,1,1,211,7.3
Ty Thompson,146568,QB,TULANE,1,29,37.9,11,5,319,3,23.6,1,1,125,4.3
Hunter Watson,183993,QB,SM HOUSTON,1,28,82.1,23,10,281,0,110.3,4,1,213,7.6
Daniel Beale,197861,QB,LA LAFAYET,2,28,42.9,12,7,207,2,26.3,2,0,123,4.4
Evan Bullock,170452,QB,LA TECH,1,28,53.6,15,7,208,1,58.2,2,0,177,6.3
Hayden Wolff,98362,QB,W MICHIGAN,1,28,60.7,17,11,347,1,78.9,1,1,196,7.0
Seth Henigan,144267,QB,MEMPHIS,1,26,69.2,18,13,218,0,132.5,0,2,294,11.3
Tad Hudson,170107,QB,COAST CAR,1,26,65.4,17,7,141,0,109.9,3,2,173,6.7
CJ Bailey,183349,QB,NC STATE,1,26,73.1,19,11,248,1,122.3,3,3,230,8.8
Braylon Braxton,144442,QB,MARSHALL,1,26,69.2,18,8,214,0,116.3,1,2,193,7.4
Darian Mensah,169984,QB,TULANE,1,25,68.0,17,10,319,1,103.6,2,2,209,8.4
Harrison Bailey,124266,QB,LOUISVILLE,1,25,64.0,16,10,210,0,122.3,0,3,164,6.6
Bishop Davenport,163426,QB,S ALABAMA,1,24,62.5,15,10,288,1,111.6,0,2,271,11.3
