player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Darien Rencher,39949,HB,CLEMSON,8,23,6,140,0,50,15,2,2,25,1,136,5.9
Joey Gatewood,82088,QB,KENTUCKY,7,23,4,202,1,14,0,0,0,20,0,87,3.8
Davis Mills,52269,QB,STANFORD,5,23,10,300,4,15,0,0,0,13,3,90,3.9
Stetson Bennett,60387,QB,GEORGIA,7,23,7,173,3,12,0,0,0,16,2,101,4.4
Richard Newton,83799,HB,WASHINGTON,2,23,5,340,0,54,7,1,1,24,2,122,5.3
Ronnie Walker Jr.,83681,HB,VIRGINIA,3,23,2,335,0,14,0,0,0,23,0,66,2.9
Trevon Raymore,100208,HB,BOWL GREEN,3,23,4,122,0,13,0,0,0,23,0,108,4.7
Andrew Peasley,83581,QB,UTAH ST,5,23,8,329,1,62,0,0,0,9,1,205,8.9
Miles Kendrick,77673,QB,KANSAS,7,23,5,198,4,20,0,0,0,14,0,78,3.4
Jaren Mangham,97773,HB,COLORADO,4,23,2,143,0,5,10,1,1,24,2,35,1.5
Jayden de Laura,131928,QB,WASH STATE,4,23,5,341,4,16,0,0,0,12,2,89,3.9
B.J. Daniels,57462,HB,UTSA,9,23,5,331,0,52,0,1,1,24,2,129,5.6
Will Plummer,131592,QB,ARIZONA,3,22,7,109,2,26,0,0,0,14,0,139,6.3
Jovoni Johnson-McCray,100830,QB,RICE,4,22,6,275,0,25,0,0,0,18,0,99,4.5
Emory Jones,82111,QB,FLORIDA,7,22,10,163,1,22,0,0,0,20,1,131,6.0
Austin Aune,83528,QB,N TEXAS,8,22,6,251,5,9,0,0,0,12,2,70,3.2
Collin Hill,40245,QB,S CAROLINA,8,22,8,289,3,12,-14,2,2,17,4,56,2.5
Chandler Smith,45291,HB,HOUSTON,6,22,4,182,0,26,29,3,4,25,0,114,5.2
Zach Gibson,100201,QB,AKRON,6,22,5,102,3,17,0,0,0,2,0,112,5.1
Charles McClelland,77733,HB,CINCINNATI,4,22,4,138,1,22,5,1,2,23,0,102,4.6
Isaiah Chavez,128257,QB,NEW MEXICO,2,22,7,241,0,54,0,0,0,19,1,109,5.0
Matthew Murla,101199,FB,AIR FORCE,6,22,10,101,1,25,0,0,0,22,4,106,4.8
Daimarqua Foster,97186,HB,TCU,5,22,3,305,0,10,48,7,9,29,1,72,3.3
Josh Williams,99171,HB,LSU,4,22,4,211,0,30,0,0,1,22,0,88,4.0
Kevin Davis,130517,HB,MIAMI OH,3,21,1,221,0,11,57,5,7,26,0,69,3.3
Dylan Morris,100570,QB,WASHINGTON,4,21,7,340,1,14,0,0,0,13,2,49,2.3
Leonard Parker,100928,HB,USF,5,21,6,327,0,27,23,2,2,23,2,87,4.1
Jarret Doege,60353,QB,W VIRGINIA,9,21,8,343,3,8,-9,1,1,16,2,42,2.0
Ken Seals,124359,QB,VANDERBILT,9,21,5,333,6,13,0,0,0,8,0,80,3.8
Dom Shoffner,62788,QB,CHARLOTTE,4,21,5,136,1,19,0,0,0,21,0,101,4.8
Ty Brock,66582,QB,C MICHIGAN,5,21,5,134,1,82,34,1,1,13,2,149,7.1
Gunnar Holmberg,77625,QB,DUKE,6,21,4,154,5,12,0,0,0,21,1,56,2.7
