player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Donovan Wilson,49408,S,DAL,1,1,0,9,0,0,0,0,4
Taron Johnson,49511,CB,BUF,2,1,0,4,0,0,0,1,11
Zach Allen,49605,ED,ARZ,1,1,0,1,0,0,0,0,3
Markus Bailey,49681,LB,CIN,4,2,0,7,0,0,0,0,1
Genard Avery,49699,ED,PHI,1,1,0,24,0,0,0,0,0
Azeez Al-Shaair,49792,LB,SF,3,8,0,28,1,0,0,0,7
Christian Rozeboom,49862,LB,LA,1,0,0,26,0,0,0,0,0
B.J. Hill,49894,DI,CIN,4,2,0,7,2,1,0,2,8
Sebastian Joseph-Day,49935,DI,LA,1,0,0,26,0,0,0,0,0
Derrick Nnadi,49970,DI,KC,3,0,0,16,1,0,0,0,4
Wyatt Ray,50115,ED,CIN,1,0,0,7,0,0,0,0,0
Ogbo Okoronkwo,50130,ED,LA,4,1,0,26,1,0,0,0,2
Olasunkanmi Adeniyi,50154,ED,TEN,1,1,0,31,0,0,0,0,0
Arden Key,50201,ED,SF,3,0,0,28,0,0,0,0,2
Oren Burks,50203,LB,GB,1,0,0,12,0,0,0,0,0
Juan Thornhill,50426,S,KC,3,7,0,16,0,0,1,0,5
Emmanuel Moseley,50430,CB,SF,3,1,0,28,0,0,0,0,23
Grant Haley,50473,CB,LA,1,0,0,26,0,0,0,0,0
Avonte Maddox,50543,CB,PHI,1,1,0,24,0,0,0,0,4
Brandon Facyson,50564,CB,LV,1,0,0,23,0,0,0,0,2
Cameron Malveaux,50587,ED,PHI,1,1,0,24,0,0,0,0,0
Charles Omenihu,50612,ED,SF,3,1,1,28,2,0,0,2,1
Luke Gifford,50675,LB,DAL,1,0,0,9,0,0,0,0,0
Ulysees Gilbert,50810,LB,PIT,1,0,0,25,0,0,0,0,0
Andre Smith,50897,LB,BUF,1,0,0,4,0,0,0,0,0
Tremaine Edmunds,50905,LB,BUF,2,4,0,4,1,0,0,0,12
Robert Spillane,50918,LB,PIT,1,0,0,25,0,0,0,0,4
