team,ret_share,portal_out_share,gone_share,portal_in_yds,qb_ret
Eastern Illinois Panthers,0.5925925925925926,0.0,0.4074074074074074,0.0,0.0
Eastern Kentucky Colonels,0.5727923627684964,0.1026252983293556,0.324582338902148,48.0,1.0
Eastern Michigan Eagles,0.6309912854030502,0.0,0.3690087145969499,8.0,1.0
Eastern Washington Eagles,0.0,0.0,1.0,0.0,0.0
Elon Phoenix,0.0,0.5452196382428941,0.45478036175710596,0.0,0.0
Florida A&M Rattlers,0.0,0.022944550669216062,0.9770554493307839,0.0,0.0
Florida Atlantic Owls,0.2779783393501805,0.16946273094075176,0.5525589297090677,757.0,0.0
Florida Gators,0.37169897725538087,0.49854983971912686,0.1297511830254923,2546.0,0.0
Florida International Panthers,0.2534857429971109,0.34091194573546035,0.40560231126742874,1561.0,0.0
Florida State Seminoles,0.3772111187686653,0.5203308063404548,0.10245807489087985,2411.0,0.0
Fordham Rams,0.75625,0.1125,0.13125,-11.0,1.0
Fresno State Bulldogs,0.4809564719358534,0.0913516609392898,0.4276918671248568,170.0,0.0
Furman Paladins,0.13445378151260504,0.6134453781512605,0.25210084033613445,0.0,0.0
Gardner-Webb Runnin' Bulldogs,0.0,0.10659509202453987,0.8934049079754601,0.0,0.0
Georgia Bulldogs,0.2955484167049105,0.003786140431390546,0.7006654428636989,1070.0,0.0
Georgia Southern Eagles,0.1205547652916074,0.3909435751541015,0.48850165955429115,671.0,0.0
Georgia State Panthers,0.3082904969025965,0.0,0.6917095030974034,617.0,0.0
Georgia Tech Yellow Jackets,0.15138933248163525,0.12338975833067178,0.725220909187693,2042.0,0.0
Grambling Tigers,0.0,0.07983193277310924,0.9201680672268907,0.0,0.0
Hawai'i Rainbow Warriors,0.5514218275823312,0.1880409126671912,0.2605372597504777,354.0,1.0
Holy Cross Crusaders,0.0,0.3575268817204301,0.6424731182795699,0.0,0.0
Houston Christian Huskies,0.15859030837004406,0.36123348017621143,0.4801762114537445,17.0,0.0
Houston Cougars,0.23133106661629518,0.04432691096839189,0.724342022415313,531.0,0.0
Howard Bison,0.0,0.0375,0.9625,0.0,0.0
Idaho State Bengals,0.5696439725171768,0.2623360399750156,0.1680199875078076,134.0,1.0
Idaho Vandals,0.21413121845710165,0.0,0.7858687815428983,86.0,0.0
Illinois Fighting Illini,0.2810094637223975,0.09249211356466877,0.6264984227129338,5332.0,0.0
Illinois State Redbirds,0.0,0.04727272727272727,0.9527272727272728,0.0,0.0
Incarnate Word Cardinals,0.0,0.5212922173274597,0.4787077826725404,0.0,0.0
Indiana Hoosiers,0.14161692892023875,0.044402242720202566,0.8139808283595587,5946.0,0.0
Indiana State Sycamores,0.34782608695652173,0.13768115942028986,0.5144927536231884,98.0,0.0
Iowa Hawkeyes,0.28711391564264366,0.06991032879442045,0.6429757555629358,144.0,0.0
Iowa State Cyclones,0.029284750337381916,0.8991902834008098,0.07152496626180836,7305.0,0.0
Jackson State Tigers,0.0,0.13024282560706402,0.869757174392936,0.0,0.0
Jacksonville State Gamecocks,0.49612015018773464,0.24342928660826033,0.260450563204005,563.0,1.0
James Madison Dukes,0.05412676207898418,0.6675992682664371,0.27827396965457873,388.0,0.0
Kansas Jayhawks,0.16118957088538838,0.018739815317762087,0.8200706137968495,3903.0,0.0
Kansas State Wildcats,0.6694989745092295,0.20436566070905363,0.12613536478171697,1439.0,1.0
Kennesaw State Owls,0.06030762421157464,0.4692929069381432,0.47039946885028217,1793.0,0.0
Kent State Golden Flashes,0.5592674241139562,0.2029845684246227,0.23774800746142105,2.0,1.0
Kentucky Wildcats,0.1368937998772253,0.45794966236955187,0.40515653775322286,930.0,0.0
LSU Tigers,0.21202185792349726,0.10765027322404372,0.680327868852459,6205.0,0.0
Lafayette Leopards,0.3351206434316354,0.5241286863270778,0.14075067024128687,0.0,0.0
Lamar Cardinals,0.043478260869565216,0.0,0.9565217391304348,563.0,0.0
Liberty Flames,0.4180911680911681,0.39116809116809115,0.19074074074074074,1985.0,1.0
Lindenwood Lions,0.0,0.24624624624624625,0.7537537537537538,0.0,0.0
Long Island University Sharks,0.7296983758700696,0.04524361948955916,0.22505800464037123,21.0,1.0
Louisiana Ragin' Cajuns,0.25925364077669905,0.2848907766990291,0.45585558252427183,5.0,0.0
Louisiana Tech Bulldogs,0.5275080906148867,0.09340982641953516,0.3790820829655781,46.0,1.0
Louisville Cardinals,0.3044362527011567,0.07181899072073217,0.6237447565781111,2413.0,0.0
Maine Black Bears,0.29820359281437125,0.22275449101796407,0.47904191616766467,12.0,0.0
Marshall Thundering Herd,0.6573369565217392,0.15964673913043478,0.1830163043478261,261.0,1.0
Maryland Terrapins,0.6838115863562534,0.07051976177585273,0.24566865186789388,3305.0,1.0
Massachusetts Minutemen,0.14481922843869927,0.682892344980812,0.1722884265804888,258.0,0.0
McNeese Cowboys,0.0,0.16416040100250626,0.8358395989974937,0.0,0.0
Memphis Tigers,0.038822115384615385,0.175,0.7861778846153846,1923.0,0.0
Mercer Bears,0.0,0.6506238859180036,0.3493761140819964,0.0,0.0
Mercyhurst Lakers,0.09399075500770417,0.0,0.9060092449922958,375.0,0.0
Merrimack Warriors,0.22731707317073171,0.5375609756097561,0.23512195121951218,1056.0,0.0
Miami (OH) RedHawks,0.24618943930321177,0.1336418072945019,0.6201687534022864,526.0,0.0
Miami Hurricanes,0.4161048333491596,0.00892602791757668,0.5749691387332637,5584.0,0.0
Michigan State Spartans,0.305368143150484,0.458052214725726,0.23657964212378996,3162.0,0.0
Michigan Wolverines,0.3463363205060622,0.1657880864522931,0.4878755930416447,939.0,0.0
Middle Tennessee Blue Raiders,0.32554191694959517,0.27095847479759727,0.4034996082528075,154.0,0.0
Minnesota Golden Gophers,0.6662420382165605,0.12022292993630573,0.21353503184713377,1288.0,1.0
Mississippi State Bulldogs,0.3592023065833734,0.049495434887073524,0.5913022585295531,2085.0,0.0
Missouri State Bears,0.22807419280970917,0.15823219601557134,0.6136936111747194,1990.0,0.0
Missouri Tigers,0.4280804480651731,0.4084775967413442,0.1634419551934827,2235.0,0.0
Monmouth Hawks,0.0,0.21428571428571427,0.7857142857142857,0.0,0.0
Montana Grizzlies,0.0,0.018032786885245903,0.9819672131147541,0.0,0.0
Montana State Bobcats,0.0,0.0,1.0,0.0,0.0
Morgan State Bears,0.3868092691622103,0.18716577540106952,0.42602495543672014,0.0,0.0
Murray State Racers,0.6515337423312884,0.11288343558282209,0.23558282208588957,0.0,1.0
NC State Wolfpack,0.5772338116483782,0.26673097793319667,0.1560352104184252,2117.0,1.0
Navy Midshipmen,0.04036207152396498,0.0,0.959637928476035,0.0,0.0
